Movie ID,Animation,Drama,Biography,War,Documentary,News,Average Rating,actors
tt11213372,no,yes,no,no,no,no,6,"Helin Kandemir, Gülçin Santircioglu"
tt11263022,no,no,no,no,no,no,4,"Bjorgvin Arnarson, Mykle McCoslin, Acoryé White"
tt11284280,no,yes,no,no,no,no,5,Gitte Witt
tt11285280,no,yes,no,no,no,no,6,"Jennifer Churchich, Patti Harrison"
tt11307814,no,yes,no,no,no,no,5,"Anna Azcárate, Thomas Hanzon, Yaba Holst, Mikael Brolin, Tim Netzler"
tt11317142,no,yes,no,no,no,no,7,"Deborah Offner, Cilda Shaur, Rachel Sennott"
tt1131724,no,yes,no,no,no,no,5,"Madison McKoy, Yusof Mutahar, Sepideh Haftgoli"
tt11327514,no,yes,no,no,no,no,7,"Voltaire Colin Council, Jane McNeill, Sophia Lillis, Bennett Todd, Colton Ryan"
tt11350284,no,no,no,no,no,no,4,Andrew Lee Potts
tt1135989,no,yes,yes,no,no,no,6,"Varda Ben Hur, Kamila Jarosinska, Zina Zinchenko, Peter Knoller"
tt11394180,no,yes,yes,no,yes,no,7,Travis W. Sproul
tt11394182,yes,no,no,no,yes,no,7,Aleks Krotoski
tt11394332,no,no,no,no,no,no,5,"Frankie Grande, Valeria Malikova"
tt11464826,no,yes,no,no,yes,no,7,"Laurie Lennard, Kara Hayward"
tt11466222,no,no,no,no,yes,no,7,"Dave England, Steve-O, Mike Estes, Compston Wilson, Brandon Leffler, Aaron Homoki"
tt11499506,no,yes,no,no,no,no,5,"Benedetta Gargari, Emanuela Annecchino, Lino Musella"
tt11525022,no,yes,yes,no,no,no,6,Bernardo Castilla
tt11540284,no,no,no,no,no,no,6,"Claude McKnight, David MacInnis, Kevin Jakubowski, James McDougall, Cyrus Arnold"
tt11591424,no,yes,no,no,no,no,6,Kipp Tribble
tt1160996,no,no,no,no,no,no,5,"Jessica Kardos, Kevin LeBlanc, Ryan McCondach, Lucas Boron"
tt11614912,no,yes,no,no,no,no,5,K.J. Phelps
tt11617052,no,yes,no,no,no,no,6,"Florian Koerner von Gustorf, Christian Petzold, Christoph Zrenner, Stefan Walz, Enno Trebs, Paula Beer, Franz Rogowski, Gloria Endres de Oliveira"
tt11628854,no,yes,no,no,no,no,5,Roman Griffin Davis
tt11649338,no,no,no,no,no,no,4,"Ivana Baquero, Stephen O'Neil Martin"
tt11650226,no,no,no,no,no,no,7,Con O'Neill
tt11656172,no,no,no,no,no,no,3,"Texas Battle, Jason Fenton, Lala Kent"
tt11656220,no,no,no,no,no,no,4,"Sistine Rose Stallone, Caitlin Carmichael, Jackie Cruz, Rene Aranda"
tt11657662,yes,no,no,no,no,no,7,"Darryl Kurylo, Jennie Kwan, Michaela Dietz"
tt11697484,no,yes,no,no,no,no,3,"Laurie Love, Michael P. Blevins, Jack Griffo, Kosey Baskin"
tt1171222,no,no,no,no,no,no,5,"Tia Mowry-Hardrict, Jill Scott, Lauren London, Trey Songz, Terrence Jenkins, Jade Thirlwall, Tyler Lepley, Jazmyn Simon, Perrie Edwards, Leigh-Anne Pinnock, Jesy Nelson"
tt11734264,no,yes,no,no,no,no,4,"Andrey Gorlenko, Kevin Lenoir"
