Movie ID,Animation,Drama,Biography,War,Documentary,News,Average Rating,actors
tt2397535,no,yes,no,no,no,no,7,"Tyler Coppin, Jim Knobeloch, Freya Stafford, Ben Steel, Christopher Stollery, Madeleine West, Rob Jenkins, John Klotz, Aaron Farrugia, Sarah Snook, Arielle Carver-O'Neill"
tt2401213,no,no,no,no,no,no,7,"Viktor Andrienko, Igor Pismennyy, Igor Filippov, Andriy Shevchenko, Shady Othman"
tt2401878,yes,yes,no,no,no,no,7,"Tom Noonan, Dino Stamatopoulos, Lee-Roy Lahey, Jason M. Norman, Pandora Edmiston"
tt2404241,no,yes,no,no,no,no,7,Ramon Y. Tungka
tt2406252,no,yes,no,no,no,no,7,"David Ives, Emmanuelle Seigner"
tt2406464,no,no,no,no,no,no,7,David Weisiger
tt2410290,no,yes,no,no,no,no,8,Mark DeMayo
tt2417154,no,no,yes,no,yes,no,8,"Karl Alvarez, Joey Cape"
tt2431286,no,yes,yes,no,no,no,7,"Mare Winningham, Steve Coogan, Michelle Fairley, Kate Fleetwood, Peter Hermann, Marie Jones, Simone Lahbib, Frankie McCafferty, Martin Glyn Murray, Anna Maxwell Martin, Patricia Mantuano"
tt2433448,no,yes,no,no,yes,no,7,Samantha Buck
tt2434988,no,yes,no,no,no,no,7,"Indra Brike, Vita Varpina"
tt2438644,no,yes,no,no,no,no,7,"Michael Brostrup, Kenneth Carmohn, Eric Ericson, Fares Fares, Tilde Maja Frederiksen, Betina Grove Ankerdal, Peter Aalbæk Jensen, Nikolaj Lie Kaas, Claes Ljungmark, Troels Lyby, Victor Marcussen, Søren Pilmark, Sonja Richter, Anders Barlebo, Pernille Lyneborg, Per Scheel Krüger, Anne Bærskog Hauger, Nynne Bojsen, Divya Das, Stine Prætorius, Christian Geisnæs, Jesper Riefensthal, Marijana Jankovic, Peter Plaugborg, Mikkel Boe Følsgaard, Marie Mondrup, Marie Boda, Bebiane Ivalo Kreutzmann, Anton Honik, Divya Das, Sebastian Teschemacher, Nicholas Westwood Kidd, Jeff Pitzner, Katrine Engberg, Lucas Lynggaard Tønnesen, Claus Maack Bahnsen, Øyvind B. Fabricius Holm"
tt2442080,no,no,no,no,yes,no,7,"Alpár Fogarasi, Ana Maria Moldovan, Szabolcs Tyukodi, Csaba Marosán, Dan Chiorean"
tt2450056,no,no,no,no,no,no,8,"La'Myia Good, Jadyn Douglas, Adam Senn, Oakley Boycott"
tt2450258,no,no,yes,no,yes,no,7,Jon Mikl Thor
tt2452042,yes,no,no,no,no,no,7,"Alex Garfin, Sam Kremers-Nedell, Madisyn Shipman, Sam Lavagnino, Mariel Sheets, Meghan Trainor"
tt2452386,no,yes,no,no,no,no,7,"Donna Biscoe, Craig Roberts, Bill Murphey"
tt2458776,no,no,no,no,yes,no,7,Pamela Ribon
tt2459156,no,yes,no,no,no,no,7,"Gethin Anthony, Frederikke Dahl Hansen, Hélène Kuhn, Sebastian Bull Sarning"
tt2472432,no,yes,no,no,no,no,7,"Dick van den Heuvel, Dave Schram, Faas Wijn"
tt2476090,no,no,no,no,no,no,8,Matt Lukin
tt2476726,no,yes,no,no,no,no,7,Sabina Räw Frank
tt2486678,no,yes,no,no,no,no,7,"Alan Gilbert, Daniel Boulud, Terra Naomi, Bérénice Marlohe"
tt2514298,no,yes,yes,no,yes,no,7,Linor Abargil
tt2516720,no,yes,no,no,no,no,7,Jamie Keohane
tt2523832,no,yes,no,no,no,no,7,"Hunter King, Lexi Ainsworth, Terri Partyka, Lauren Tischler"
tt2527192,no,yes,no,no,yes,no,7,Amber Rubarth
tt2534634,no,yes,yes,no,no,no,7,"Kaili Närep, Märt Avandi, Mikhail Pashchuk"
tt2534648,no,yes,no,no,no,no,7,"Ilmar Raag, Kiiri Tamm, Piret Laurimaa, Jüri Lumiste"
tt2545428,no,no,no,no,yes,no,7,Conrad Anker
tt2555202,no,no,yes,no,yes,no,7,Kent Schaffer
tt2560102,no,yes,no,no,no,no,7,"Hong Khaou, Giles Foreman"
tt2560440,no,yes,no,no,no,no,7,"Eva Medusa Gühne, Lene Marlin"
tt2577990,no,no,no,no,yes,no,7,Marta Cunningham
tt2594950,no,yes,no,no,no,no,7,"Vladislav Toldykov, Irina Nizina, Aleksey Alekseev, Dmitriy Kulichkov, Ilya Isaev, Yuriy Bykov, Denis Shvedov, Egor Gubarev"
tt2604642,no,yes,no,no,no,no,8,Bailey Gaddis
tt2611652,no,yes,no,no,no,no,7,"Sigurjón Kjartansson, Halfdan Pedersen, Thorir Sæmundsson"
tt2614684,no,yes,no,no,no,no,7,"Dawn Bradfield, Richard Dormer, Aphex Twin, Martin McCann, Paul Popplewell, Jamie D. Allen, Aaron Monaghan, Alan Donohoe, Denise Gough, Jack O'Connell, Sam Reid, Charlie Murphy, Deantoni Parks"
tt2617828,no,yes,no,no,no,no,7,"Vilmar Bieri, Attila Borlan, Oliver Bröcker, Horst Krebs, Shenja Lacher, Max Riemelt, Katharina Schüttler, Karsten Dahlem, Hanno Koffler, Stephanie Schönfeld, Britta Hammelstein, Barbara Bernt"
tt2636124,yes,no,no,no,no,no,7,Katherine Salavarria
tt2650718,no,yes,no,no,no,no,7,"Ton Kas, Diederik Ebbinge, Renske de Greef"
tt2654536,no,yes,no,no,no,no,8,"Darius Campbell, Stuart Brennan, Sarina Taylor"
tt2689966,no,no,no,no,yes,no,7,"Michael Esper, Mary Faber"
tt2692904,no,yes,no,no,no,no,7,"Tom Hardy, Haris Zambarloukos, Kirsty Dillon, Ruth Wilson"
tt2709312,no,yes,no,no,yes,no,7,Vladimir Bozic
